EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-796.280919848	200.0	0.00201292	2.00752	-0.0106048119102	-0.00907466223603	182000
-717.63455229	200.0	0.00242796	2.00268	-0.0536487513602	-0.0416447966123	184600
-754.951306992	200.0	0.00306013	1.99788	-0.0482213756676	-0.0418173429003	187200
-770.6196268	200.0	0.00796394	1.99341	-0.0436554373459	-0.0392216427709	189800
-679.649644424	200.0	0.00184973	1.9901	-0.0278674549394	-0.0269882016216	192400
-671.575948398	200.0	0.00123728	1.98682	-0.024985864176	-0.0262987662049	195000
-729.256152486	200.0	0.00153521	1.9836	-0.030231383026	-0.0287965533179	197600
-641.232102201	200.0	0.00152795	1.98007	-0.026060828122	-0.0253273163165	200200
-684.987056446	200.0	0.00076727	1.97667	-0.0271924807202	-0.0253552666372	202800
-639.85741721	200.0	0.00143674	1.97147	-0.0265431960529	-0.026385797472	205400
-720.354195116	200.0	0.00186825	1.96595	-0.0223978566916	-0.0201235500991	208000
-623.014298853	200.0	0.00201113	1.9613	-0.0229171220133	-0.0208261344883	210600
-586.180463239	200.0	0.00155003	1.95717	-0.0237746465441	-0.023689146774	213200
-614.982043441	200.0	0.00112271	1.95272	-0.0252558889397	-0.0260792491009	215800
-594.619523088	200.0	0.00431633	1.94857	-0.0218418835297	-0.0208308449274	218400
-509.614335861	200.0	0.00173761	1.94545	-0.030218974782	-0.0313209262315	221000
-617.783045465	200.0	0.00169443	1.9428	-0.0149607388569	-0.0121041530665	223600
-557.782700514	200.0	0.00159065	1.93932	-0.00770053889721	-0.00395672870571	226200
-533.86086805	200.0	0.00176736	1.93531	-0.0163163375684	-0.0137138129519	228800
-500.265834271	200.0	0.0017377	1.93058	-0.0201597196517	-0.0191603448954	231400
-507.40339306	200.0	0.00213445	1.92634	-0.0101420939479	-0.00751319182265	234000
-417.875274459	200.0	0.00355265	1.92224	-0.0154964594985	-0.0131584757653	236600
-401.752337587	200.0	0.00401565	1.91829	-0.00358750183584	0.000411863293211	239200
-484.787561098	200.0	0.000575074	1.91511	0.00218559432035	0.00552181478657	241800
-446.902006592	200.0	0.00107094	1.91118	-0.00710694877588	-0.00440203133141	244400
-452.395150575	200.0	0.00079672	1.90816	0.00100454688583	0.00360255790986	247000
-397.885061514	200.0	0.00250163	1.90458	-0.0072505024156	-0.00518341693177	249600
-409.055692681	200.0	0.0036996	1.90032	-0.00998808179544	-0.00761872196711	252200
-348.834697712	200.0	0.00381385	1.89595	0.0036157853109	0.0069764172183	254800
-317.156796714	200.0	0.00154441	1.89161	0.024347568712	0.0291417293381	257400
-366.642126897	200.0	0.00192073	1.88659	0.0354142208846	0.0392508912743	260000
-246.084803274	200.0	0.00389021	1.88103	0.00883262702088	0.0131891170838	262600
